Gradient,Gio mean,G,a,vmg,mvg,RSS
4.384724952004134,0.0865131211931371,0.545,0.0,5.362454254159961e-07,0.07284546296198811,210.86227068770694
4.311304768359424,0.0827968634429628,0.545,0.05,7.33565212832982e-07,0.07245707258138852,227.31887980107643
4.839182845296492,0.090514095707447,0.545,0.1,3.669963540960031e-07,0.07265378638162712,227.46108003032518
4.462943688361809,0.1020000918855229,0.545,0.15,6.208231502718499e-07,0.07284981719294444,217.7731433588558
4.2297547794540655,0.0998678786249804,0.545,0.2,1.154659248269971e-06,0.07168719701182583,201.34203997260497
4.254446887802666,0.0820658228410325,0.545,0.25,4.90130413922323e-07,0.0716548067668154,200.26415867629527
4.74404937951857,0.0893343650170475,0.545,0.3,4.069509211716578e-07,0.07262385071897003,218.50511826159783
4.727487567613834,0.1156864685685204,0.545,0.35,5.917207876934446e-07,0.07241911199406621,254.53167269652772
4.676976142506424,0.1531078637449215,0.545,0.4,5.827089080249612e-07,0.07235439798585151,275.6609975793839
4.7416638566851255,0.1211881149334832,0.545,0.45,4.6291740358740403e-07,0.07414340646254948,288.8855322076125
4.885376000373034,0.1476396690812744,0.545,0.5,5.675476960886291e-07,0.07393985999528827,288.22357682808234
5.060673847284832,0.1340643329921477,0.545,0.55,4.53092987047981e-07,0.07328811770508956,236.87339896468376
4.894829294429434,0.1392990941705766,0.545,0.6,5.300069776574525e-07,0.07273390118724125,267.4555432435544
5.032439407287513,0.0958322965184339,0.545,0.65,6.105661446149359e-07,0.07330828387005701,278.9335475430835
4.7394852416842985,0.1053487296794701,0.545,0.7,7.084674283076574e-07,0.0732994287297391,228.6068126904551
5.080043876520891,0.214673860601209,0.545,0.75,9.790166355364325e-07,0.07425053521947196,319.14141435504473
5.058088405534185,0.1062865719324285,0.545,0.8,5.20588285520389e-07,0.07330058307636111,232.11473803071107
5.012719631248504,0.1205459791715751,0.545,0.85,6.191789474491942e-07,0.07437413330907715,280.014388527661
4.598176435576576,0.112098684535534,0.545,0.9,8.47536183612571e-07,0.07374027596873776,223.26467136880814
4.991855632643824,0.150268347924547,0.545,0.95,5.887607004037299e-07,0.07353534222024036,241.5533153980594
4.376042919876612,0.1270083363428658,0.55,0.0,1.485751724145237e-06,0.07113840074645647,251.0989874695436
4.291856028647331,0.1394269258284923,0.55,0.05,1.6048768317046749e-06,0.07205105955897484,259.7403140947509
4.99359823855221,0.1348586149249956,0.55,0.1,2.420148522249726e-06,0.07209972156215577,269.8892963095599
4.713640413968824,0.1049852978479346,0.55,0.15,7.040047992247672e-07,0.07154033255826853,223.31782047226088
4.727646124945694,0.1578448623425334,0.55,0.2,1.2996419996303717e-06,0.07116716927953376,262.3102091637892
4.415458126300139,0.1418233774990859,0.55,0.25,6.86805592284194e-07,0.06992353461734473,229.91228181447013
4.791350765364083,0.1523450853778723,0.55,0.3,9.387225708917444e-07,0.07168366441163034,251.64552996525458
4.674381183569631,0.142600952720771,0.55,0.35,5.079811872867984e-07,0.07184701749329915,249.00766955727357
4.723684383805486,0.1614174537818661,0.55,0.4,5.815839041824228e-07,0.07195400196281683,288.1170710044763
